advisee,collaborator
Maurizio Pighin,13,Henry Feild,1,Milan Zorman,2,Giorgio Brajnik,1,Roberto Zamolo,1,Peter Kokol,3,Lucio Ieronutti,7,Dawn J. Lawrie,1,Gregor Stiglic,1,Mitja Lenic,1,Anna Marzona,3,Vili Podgorelec,3,Matej Sprogar,1,Matej Mertik,2
Juan Jose Fons,7,Oscar Pastor,4,José Raúl Romero,1,Sofía Martí,1,Pedro J. Molina,1,Emilio Insfrán,1,Alberto Aparicio Vila,1,Juan Sánchez Díaz,2
Gianfranco Bilardi,30,Lorenzo De Stefani,1,R. Cristi,1,Eric J. Schwabe,2,Giovanni Resta,1,Pratap Pattnaik,1,Scot W. Hornick,2,Franco P. Preparata,10,Francesco Pesavento,1,Shiva Chaudhuri,1,Geppino Pucci,2,Kieran T. Herley,3,Gianfranco Cariolaro,1,Francesco Silvestri 0001,2,Alexandru Nicolau,1,Bernhard A. Schrefler,1,Paul Bay,3,Enoch Peserico,1,Carlo Fantozzi,1,G. Del Corso,1,Devdatt P. Dubhashi,1,Paolo D'Alberto,2,Michele Scquizzato,3,Abha Moitra,1,Mauro Bianco,1,Franco Bombi,1,Shyam Kapur,4,Maria Cristina Pinotti,1,Xiaolong Jin,1,Majid Sarrafzadeh,2,Sebastiano Fabio Schifano,1
D. Crouse,4,D. C. Hoffmeister,1,James A. Perreault,1,Patrick W. Dowd,1,John C. Chu,1
Matas Sileikis,3,Andrzej Dudek,2,Andrzej Rucinski 0001,2,Alan M. Frieze,2
Arpad Kelemen,6,Bamidele Tayo,1,Xueya Cai,1,Athanasios V. Vasilakos,2,Stan Franklin,1,King-Ip Lin,1,Yulan Liang,9
Yuzhuo Zhong,51,Qi Wang,4,Hong-Jiang Zhang,1,Qian Zhang,1,Guobin Shen,2,Zhe Xiang,3,Wenping Chen,1,Feng Huang,1,HongJiang Zhang,2,Bin B. Zhu,2,Guang-Ming Hong,1,Changjie Guo,1,Ming Su,1,Shipeng Li,7,Jenq-Neng Hwang,1,Yuwen He,9,David D. Feng,2,Wenwu Zhu 0001,1,Lifeng Sun,14,Ya-Qin Zhang,2,Yixin Yang,1,Hai Qin,1,Yu Yuan,2,Jianning Zhang,6,Jian-Guang Luo,5,Yu-Fei Ma,1,Shiqiang Yang,11,Ke Liang,3,Yun Tang,10,Li Zhao,1,Yibo Wang,1,Zixiang Xiong,1,Meng Zhang,3,Yi Wang 0008,1,Juntao Ouyang,1,Wei Qi,2,Hao Wang,2,Xiaoming Wang,1,Baitao Long,1,Nan Zhang,1,Chuan Wu,2,Zhun Zhong,3,Yidong Wang,1,Kaiyun Zhang,1,Xuejun Zhao,2,Feng Wu,3,Lina Zhang,1,Xinxin Zhou,2,Yao Zhang,1,Chunhua Li,3,Chun Yuan,2,Hong-Lian Cai,1
Beverly Coleman,11,Steven C. Horii,1,Susan Rowling,1,Christopher Iyoob,1,Michele Reber,1,Lisa Pinheiro,1,Jill Langer,1,James Farn,1,Jill Jacobs,1,Harvey Nisenbaum,1,Peter Arger,1,Wendy Klein,1
David Ruiz 0003,1,Mateu Villaret,1
David Ruiz 0002,4,Zhengzhi Zhang,1,Jayantha Katupitiya,1,Sarath Kodagoda,1,Gamini Dissanayake,1
Edy Tri Baskoro,28,S. M. Nababan,1,Andrea Semanicová-Fenovcíková,1,Mirka Miller,4,A. A. G. Ngurah,2,Suhadi Wido Saputro,2,Rinovia Simanjuntak,1,D. Ismaimuza,1,Hasmawati,3,Kashif Ali,1,I. Wayan Sudarsana,2,N. N. Gaos,1,Muhammad Imran,1,Yus Mochamad Cholily,2,Surahmat,5,A. Q. Baig,1,Tati L. R. Mengko,1,Martin Sutton,1,Hilda Assiyatun,3,Martin Baca,1,Nurjannah Syakrani,1,Nurdin,2,Tomás Vetrík,2,Lyra Yulianti,1,A. N. M. Salman,3,Saladin Uttunggadewa,4,Joe Ryan,1,Ján Plesník,3,Stefan Znám,1
Zaiji Yuan,3,Hanbing Qu,1,Yutian Liu,1,Chunyi Wang,1
Marek Braun,3,Viera Rozinajová,1,Pavol Návrat,1,Mária Bieliková,1
D. Imbert,2,S. McNamara,2,Y. Le Gonidec,1
Toshihiko Ryu,6,Y. Ito,1,Masato Tahara,2,Yasuharu Yoshida,2,Junichi Uchibori,1,T. Noguchi,2,Y. Kitahara,1
