advisee,startyear, collaborate_times
Catharina Stoecklin-Serino,2009,1,2009,1
Derek Chan,2007,4,2007,1,2008,1,2010,2
Peter Priesching,2005,1,2005,1
Yu-Fan Kuo,2007,1,2007,1
Yu-Ting Fu,2006,1,2006,1
Seungok Choi,2007,2,2007,2
Jarkko Hyysalo,2006,5,2006,1,2009,2,2010,1,2013,1
Ilya Sochenkov,2011,6,2011,1,2013,1,2014,3,2016,1
Lynell E. Cannell,2003,1,2003,1
Rainer Wohlmuth,2006,1,2006,1
P. Demont,2011,1,2011,1
Markus Kirchberg,2001,23,2001,1,2002,1,2003,2,2004,3,2005,2,2006,3,2007,5,2008,6
Eric Van Wyk,1997,15,1997,3,1998,1,1999,1,2000,2,2002,3,2003,3,2004,2
Sanguk Kim,2009,6,2009,1,2010,1,2011,1,2012,1,2013,1,2014,1
Nicolas-Alexander Tatlas,2005,6,2005,2,2006,2,2007,1,2011,1
Sudipta Rakshit,2001,4,2001,1,2004,1,2005,1,2006,1
Dionysia Kontotasiou,2011,3,2011,2,2012,1
Kathleen M. Mutch,1982,5,1982,1,1985,2,1986,1,1988,1
Marco Lackovic,2008,9,2008,1,2009,2,2010,2,2011,1,2013,2,2014,1
Sibo Yang,2008,3,2008,1,2013,2
Gordon Wyeth,1998,28,1998,4,2000,6,2001,6,2002,1,2003,6,2004,3,2005,2
Martin Peters,2012,11,2012,2,2013,2,2014,3,2015,3,2016,1
Alexander E. Fiterman,2001,1,2001,1
Hong-E Ren,2011,1,2011,1
Nur Azzah Abu Bakar,2009,1,2009,1
Diethard Mattanovich,2010,2,2010,1,2014,1
Rhan Ha,1993,10,1993,1,1994,1,1995,1,1996,2,1997,1,1998,1,1999,2,2000,1
Benjamin Huhle,2005,13,2005,1,2007,1,2008,3,2009,1,2010,3,2011,4
Lina Paskeviciute,2008,1,2008,1
Paolo Mazzoni,2003,1,2003,1
Carlos Cernuda,2012,4,2012,1,2013,2,2015,1
Yifan Ge,2011,1,2011,1
Boguslaw Cyganek,2001,43,2001,2,2002,1,2003,7,2004,10,2005,4,2006,5,2007,6,2008,8
Chaochen Zhou,1992,7,1992,1,1993,1,1994,3,1995,1,1998,1
Kalyan Kidambi,1995,4,1995,1,1996,1,2000,2
J. M. Van Kimmenade,1983,1,1983,1
Ole Lehrmann Madsen,1976,8,1976,1,1979,1,1980,2,1981,2,1983,2
Iain G. Johnston,2012,1,2012,1
YoHan Park,2010,4,2010,1,2013,2,2016,1
Maurizio Iocco,2009,2,2009,1,2014,1
Neeraj Deshmukh,1996,5,1996,2,1997,1,1998,1,1999,1
Xianfeng Yang,2004,9,2004,1,2005,2,2007,2,2009,1,2010,1,2011,2
Zhen Xue,2011,5,2011,1,2014,1,2015,3
Xiangru Chen,2008,2,2008,1,2011,1
Isabelle Augenstein,2012,14,2012,1,2013,6,2014,3,2015,3,2016,1
Raymond Couture,1993,8,1993,2,1995,1,1996,1,1997,2,1998,1,2000,1
Bijaya Laxmi Panigrahi,2010,5,2010,1,2011,2,2012,1,2013,1
Michael P. Gilroy,2009,1,2009,1
Sunit Mangalvedhekar,1997,1,1997,1
Peixi Peng,2012,3,2012,2,2015,1
Mario del Valle,2002,1,2002,1
Joo-Yeon Hwang,2009,2,2009,1,2014,1
Franziskus Timmermann,1991,1,1991,1
Aoife Power,2004,1,2004,1
Stuart P. Goring,2007,1,2007,1
Yiqing Shen,2006,5,2006,1,2009,1,2010,1,2011,1,2012,1
Ai-Fan Ling,2009,1,2009,1
Djamila Medjahed Gamaz,2010,1,2010,1
Patricia M. West,2005,1,2005,1
Sandra Moral,2000,1,2000,1
Viktor F. S. Saboia,2006,1,2006,1
Victor Berman,2004,12,2004,2,2005,4,2006,3,2007,2,2008,1
Jan Vana,2010,7,2010,1,2011,1,2012,2,2013,1,2014,1,2015,1
Kathrin Hofmann,2007,1,2007,1
Krishna Chaitanya T.,2011,1,2011,1
Carles Garrigues,2008,6,2008,1,2009,1,2010,1,2011,1,2012,2
Daniel Xavier de Sousa,2008,2,2008,1,2012,1
Samuel Oladapo,2009,1,2009,1
Jinhui Liu,1995,7,1995,1,1998,2,2000,2,2002,2
Pierfranco Gennai,2012,1,2012,1
Yu-Ren Ju,2009,1,2009,1
Jennifer Kay,1998,1,1998,1
Aruna Sankaranarayanan,1998,1,1998,1
Chongjun Zhu,2007,3,2007,3
Masita Jalil,2007,2,2007,1,2010,1
Buhwan Jung,2002,1,2002,1
Jane Acheson,2000,1,2000,1
G. J. Liu,2008,2,2008,1,2013,1
Bijun Luo,2009,1,2009,1
James TenEyck,1998,4,1998,1,2001,1,2005,2
Jian-Yun Shang,2007,1,2007,1
Bret M. Victor,2001,1,2001,1
Irina Davidovskaja,2005,1,2005,1
Ryan Caldwell,2006,3,2006,1,2008,1,2013,1
Guillermo Verduzco,2010,1,2010,1
Wei-Jyun Chen,2011,1,2011,1
Stephane Chiocchetti,2005,1,2005,1
Fernando Berzal,2004,25,2004,2,2005,1,2006,2,2007,3,2008,2,2009,2,2010,5,2011,8
M. Gregory Forest,1995,4,1995,1,2000,2,2001,1
Enrique Caliz,2011,1,2011,1
Jane Saetent,2011,2,2011,1,2012,1
Lujun Wang,2012,2,2012,1,2013,1
Lal Sood,1990,2,1990,1,1995,1
Leendert Johannes du Toit,2005,1,2005,1
Zhaoqing Zhang,1995,9,1995,1,1996,2,1997,2,1999,1,2000,1,2002,2
Hisashige Ito,2010,1,2010,1
Soi Luong,2010,1,2010,1
L. S. Han,2006,1,2006,1
Marco Grimm,2000,3,2000,1,2004,1,2006,1
Edmund Kheng Kiat Tong,2010,1,2010,1
John M. Owen,1997,1,1997,1
J. R. Holm,1986,2,1986,1,1987,1
David B. Karelitz,2004,3,2004,1,2005,1,2006,1
Yun-Sun Yee,2010,2,2010,1,2012,1
Thomas Renger,1994,5,1994,1,1996,1,1997,1,1998,1,1999,1
Xiaoxiao Lian,2009,3,2009,1,2010,1,2012,1
David A. Pelta,1997,11,1997,2,2000,1,2001,1,2002,2,2003,3,2004,2
